iter	Passed	Remaining
835	54676	10725
836	54741	10660
837	54804	10594
838	54864	10528
839	54928	10462
840	54991	10396
841	55051	10330
842	55118	10265
843	55177	10198
844	55239	10132
845	55301	10066
846	55362	10000
847	55422	9934
848	55484	9868
849	55549	9802
850	55612	9737
851	55673	9671
852	55734	9604
853	55796	9538
854	55856	9472
855	55922	9407
856	55982	9341
857	56041	9274
858	56104	9209
859	56167	9143
860	56229	9077
861	56289	9011
862	56356	8946
863	56417	8880
864	56478	8814
865	56538	8748
866	56599	8682
867	56659	8616
868	56739	8553
869	56801	8487
870	56865	8422
871	56930	8356
872	56994	8291
873	57055	8225
874	57118	8159
875	57182	8094
876	57244	8028
877	57305	7962
878	57365	7896
879	57427	7831
880	57490	7765
881	57554	7700
882	57618	7634
883	57680	7568
884	57740	7502
885	57802	7437
886	57863	7371
887	57925	7305
888	57992	7240
889	58052	7175
890	58113	7109
891	58173	7043
892	58235	6977
893	58295	6912
894	58357	6846
895	58422	6781
896	58483	6715
897	58544	6649
898	58604	6584
899	58666	6518
900	58727	6452
901	58787	6387
902	58851	6321
903	58917	6256
904	58974	6190
905	59031	6124
906	59088	6058
907	59146	5992
908	59202	5926
909	59261	5861
910	59319	5795
911	59381	5729
912	59440	5664
913	59500	5598
914	59560	5532
915	59619	5467
916	59682	5402
917	59743	5336
918	59802	5270
919	59861	5205
920	59920	5139
921	59980	5074
922	60038	5008
923	60101	4943
924	60161	4877
925	60220	4812
926	60279	4746
927	60336	4681
928	60395	4615
929	60452	4550
930	60515	4485
931	60575	4419
932	60635	4354
933	60694	4288
934	60753	4223
935	60811	4158
936	60870	4092
937	60936	4027
938	60995	3962
939	61056	3897
940	61115	3831
941	61173	3766
942	61235	3701
943	61296	3636
944	61359	3571
945	61418	3505
946	61476	3440
947	61534	3375
948	61593	3310
949	61665	3245
950	61725	3180
951	61785	3115
952	61842	3049
953	61902	2984
954	61959	2919
955	62016	2854
956	62074	2789
957	62132	2723
958	62193	2658
959	62251	2593
960	62311	2528
961	62369	2463
962	62427	2398
963	62483	2333
964	62540	2268
965	62602	2203
966	62660	2138
967	62718	2073
968	62774	2008
969	62831	1943
970	62890	1878
971	62950	1813
972	63011	1748
973	63102	1684
974	63196	1620
975	63254	1555
976	63311	1490
977	63369	1425
978	63429	1360
979	63488	1295
980	63543	1230
981	63601	1165
982	63659	1100
983	63717	1036
984	63774	971
985	63836	906
986	63892	841
987	63949	776
988	64005	711
989	64064	647
990	64120	582
991	64176	517
992	64237	452
993	64291	388
994	64350	323
995	64409	258
996	64467	193
997	64527	129
998	64600	64
999	64662	0
